"Kategorie","Punkte","Antwort","Frage"
"Die Simpsons","100","Das ist Homers Arbeit im Kraftwerk.","Was ist Sicherheitsinspektor?"
"Die Simpsons","200","Das ist der Name der Grundschule, in die Lisa und Bart gehen.","Was ist die Springfield-Grundschule?"
"Die Simpsons","300","Homers zweiter Vorname.","Was ist “Jay”?"
"Die Simpsons","400","Der Name von Springfields Nachbarstadt.","Was ist Shelbyville?"
"Die Simpsons","500","Dieses Kind erschoss Mr. Burns.","Wer ist Maggie Simpson?"
"Internet","100","Das engl. Acronym für das “World Wide Web” (drei Silben) hat so viele Silben.","Was ist neun?"
"Internet","200","Die Sprache des Netzes.","Was ist HTML?"
"Internet","300","Die drei großen Grafikformate nach Dateiendung im Internet sind: GIF, PNG, und dieses.","Was ist JPG bzw. JPEG?"
"Internet","400","Diese Person erfand das “World Wide Web”.","Wer ist Tim Berners-Lee?"
"Internet","500","Das Acronym für das meistgenutzte Dateitransfer-Protokoll im Internet.","Was ist HTTP?"
"Mathematik","100","2x = 16, vereinfacht.","Was ist acht?"
"Mathematik","200","Die von Computern und Chips genutzte Basis.","Was ist zwei / binär / dual?"
"Mathematik","300","2 + 7 * 2","Was ist sechzehn?"
"Mathematik","400","2,718281828459...","Was ist die Eulersche Zahl (Formelzeichen e)?"
"Mathematik","500","e^(i*π) = -1","Was ist die Eulersche Identität (ein Spezialfall der Eulerschen Formel)?"
"Süßes","100","Das sind die weltbesten Gelee-Bohnen.","Was sind “Jelly Bellies”?"
"Süßes","200","Diese populäre Süßigkeit steckt in einer bedruckten, rechteckigen, normalerweise mit einem Kopf bestückten Röhre.","Was ist “Pez”?"
"Süßes","300","Diese Marke ist beliebt, um Kinder im Flugzeug ruhig zu stellen.","Was ist “MAOAM”?"
"Süßes","400","Es hat vorrangig zwei gleiche Buchstaben im Namen.","Was sind M&M's?"
"Süßes","500","Das ist die liebste Schokolade des Modders.","Was ist heiße, geschmolzene Vollmilchschokolade mit etwas Milch?"
"Farben","100","Deutsch für (japanisch) “rojo”.","Was ist Rot?"
"Farben","200","Dies ist die Farbe des Himmels.","Was ist Blau?"
"Farben","300","Die Abwesenheit von Farbe.","Was ist Schwarz."
"Farben","400","Die Sonne hat diese Farbe.","Was ist Gelb?"
"Farben","500","Die meisten Schokoladenriegel haben diese Farbe.","Was ist Braun?"
"Zeit","100","Die Anzahl der Stunden eines Tages.","Was ist 24?"
"Zeit","200","Der erste Wochentag in den meisten Kulturen.","Was ist Sonntag?"
"Zeit","300","Das Phenomen, bei dem Zeit langsamer vergeht umso schneller der Reisende ist.","Was ist Zeit-Dilatation?"
"Zeit","400","Jeder hat genau gleich viel davon.","Was ist Zeit?"
"Zeit","500","Das 9.192.631.770-fache der Strahlungsniveau-Periodendauer-Differenz von bestimmten Atomen.","Was ist eine Sekunde?"
"Final Jeopardy","0","Das ist das beste Jeopardy im Netz!","Was ist JS Jeopardy?"